sample_id,axis,call,delta,boundary_share,p0,total
GSE217414,CXCL12->CXCR4,depleted,-0.1802241575535653,0.36428571428571427,0.5445098718392796,140
GSE226997,CXCL12->CXCR4,enriched,0.03921905018202482,0.524031007751938,0.4848119575699132,3225
GSE274103,CXCL12->CXCR4,enriched,0.07094630415816125,0.22118863049095608,0.15024232633279483,1935
GSE217414,SPP1->ITG*,enriched,0.07087474354533585,0.6153846153846154,0.5445098718392796,1794
GSE226997,SPP1->ITG*,enriched,0.03566006102475877,0.520472018594672,0.4848119575699132,16779
GSE274103,SPP1->ITG*,enriched,0.04267437220617862,0.19291669853897345,0.15024232633279483,26146
GSE217414,TGFB1->TGFBR*,enriched,0.025019780512458678,0.5695296523517382,0.5445098718392796,1956
GSE226997,TGFB1->TGFBR*,enriched,0.010181015023199957,0.49499297259311315,0.4848119575699132,11384
GSE274103,TGFB1->TGFBR*,neutral,0.0010747373898470358,0.15131706372264186,0.15024232633279483,20652
GSE217414,VEGFA->KDR,enriched,0.17771235038294264,0.7222222222222222,0.5445098718392796,270
GSE226997,VEGFA->KDR,neutral,-0.0005599890659762075,0.484251968503937,0.4848119575699132,1778
GSE274103,VEGFA->KDR,enriched,0.11362573963422168,0.2638680659670165,0.15024232633279483,667
