sample_id,axis,total,boundary,interior,boundary_share,ci_lo,ci_hi,p0,p_enrich,p_deplete
GSE274103,VEGFA->KDR,667,5,662,0.0074962518740629685,0.003206030630782894,0.017427156100630305,0.01029886914378029,0.7632929612404273,0.23670703875957266
GSE274103,CXCL12->CXCR4,1935,19,1916,0.009819121447028423,0.006295055075525383,0.015285666113869355,0.01029886914378029,0.5827872069714194,0.4172127930285806
GSE274103,TGFB1->TGFBR*,20652,130,20522,0.006294789850861902,0.005304124389571178,0.007469095172685729,0.01029886914378029,0.9999999939921106,6.007889408188305e-09
GSE274103,SPP1->ITG*,26146,207,25939,0.007917081006654938,0.006912759273612358,0.009065983786919222,0.01029886914378029,0.9999318222808232,6.817771917677629e-05
GSE226997,VEGFA->KDR,1778,0,1778,0.0,0.0,0.002155971664372411,0.010848601735776278,0.9999949709784589,5.029021541091971e-06
GSE226997,CXCL12->CXCR4,3225,8,3217,0.00248062015503876,0.0012574945945812638,0.004887619492154982,0.010848601735776278,0.9999977560777176,2.2439222824299776e-06
GSE226997,TGFB1->TGFBR*,11384,56,11328,0.004919184820801124,0.0037903652563551285,0.006382027728106475,0.010848601735776278,0.9999999994929856,5.070144304397672e-10
GSE226997,SPP1->ITG*,16779,84,16695,0.0050062578222778474,0.00404576711939055,0.006193357106151804,0.010848601735776278,0.9999999999998619,1.3811174426336947e-13
GSE217414,VEGFA->KDR,270,11,259,0.040740740740740744,0.022898555013308328,0.07146840749348393,0.0626948389331486,0.9316417895054591,0.06835821049454094
GSE217414,CXCL12->CXCR4,140,12,128,0.08571428571428572,0.04971075204420018,0.14384660549353578,0.0626948389331486,0.13059644571581394,0.869403554284186
GSE217414,TGFB1->TGFBR*,1956,76,1880,0.03885480572597137,0.03115527066549207,0.048362176050609905,0.0626948389331486,0.9999931761981075,6.823801892541503e-06
GSE217414,SPP1->ITG*,1794,62,1732,0.03455964325529543,0.0270522173841566,0.0440561605730561,0.0626948389331486,0.9999995581663963,4.4183360370375624e-07
