sample_id,axis,total,boundary,interior,boundary_share,ci_lo,ci_hi,p0,p_enrich,p_deplete
GSE217414,CXCL12->CXCR4,140,51,89,0.36428571428571427,0.28918272659974975,0.4466377870764052,0.5445098718392796,0.9999907340224679,9.265977532146863e-06
GSE226997,CXCL12->CXCR4,3225,1690,1535,0.524031007751938,0.5067757546129105,0.5412290778322612,0.4848119575699132,4.165734667816793e-06,0.9999958342653322
GSE274103,CXCL12->CXCR4,1935,428,1507,0.22118863049095608,0.2032578918498635,0.24022423686039315,0.15024232633279483,1.2261842584410427e-18,1.0
GSE217414,SPP1->ITG*,1794,1104,690,0.6153846153846154,0.5926478745791485,0.6376282520829558,0.5445098718392796,8.309241234905064e-10,0.9999999991690759
GSE226997,SPP1->ITG*,16779,8733,8046,0.520472018594672,0.5129089463667155,0.5280257187140777,0.4848119575699132,1.2025567862381626e-20,1.0
GSE274103,SPP1->ITG*,26146,5044,21102,0.19291669853897345,0.18817898121333387,0.1977446413603493,0.15024232633279483,2.1309730919409798e-83,1.0
GSE217414,TGFB1->TGFBR*,1956,1114,842,0.5695296523517382,0.5474711817147995,0.5913155447226841,0.5445098718392796,0.013144850930154595,0.9868551490698454
GSE226997,TGFB1->TGFBR*,11384,5635,5749,0.49499297259311315,0.48581168254489043,0.5041776408050233,0.4848119575699132,0.014869597974543918,0.9851304020254561
GSE274103,TGFB1->TGFBR*,20652,3125,17527,0.15131706372264186,0.1464943810248078,0.15626944342280022,0.15024232633279483,0.3327781555077408,0.6672218444922592
GSE217414,VEGFA->KDR,270,195,75,0.7222222222222222,0.6659626209445709,0.772246913326336,0.5445098718392796,2.2660173733235113e-09,0.9999999977339826
GSE226997,VEGFA->KDR,1778,861,917,0.484251968503937,0.46108119313129914,0.5074906484959253,0.4848119575699132,0.518841886695433,0.48115811330456704
GSE274103,VEGFA->KDR,667,176,491,0.2638680659670165,0.2318412334002565,0.29859933558055796,0.15024232633279483,1.0796474757824761e-16,0.9999999999999999
